age,gender,height,weight,activity,bmr,tdee,calorie_needs,protein,fat,carbs
51,F,198,60,Active,1395,2406,2406,180,67,271
42,F,183,77,Light,1545,2124,2124,159,59,239
78,F,159,104,Light,1564,2150,2150,161,60,242
71,F,155,95,Sedentary,1499,1799,1799,135,50,202
25,M,169,83,Light,1869,2570,2570,193,71,289
51,F,159,100,Light,1644,2260,2260,170,63,254
32,F,169,111,Sedentary,1859,2231,2231,167,62,251
55,M,191,88,Very Active,1872,3557,3557,267,99,400
76,F,183,101,Active,1619,2793,2793,209,78,314
78,M,185,109,Moderate,1994,3091,3091,232,86,348
72,F,168,59,Light,1202,1653,1653,124,46,186
70,M,174,72,Very Active,1491,2833,2833,212,79,319
25,F,193,88,Very Active,1751,3327,3327,250,92,374
53,M,186,115,Light,2221,3054,3054,229,85,344
30,M,182,45,Sedentary,1394,1673,1673,125,46,188
73,M,188,87,Light,1742,2395,2395,180,67,269
26,F,199,46,Very Active,1377,2616,2616,196,73,294
45,F,184,118,Active,1914,3302,3302,248,92,371
77,F,198,80,Active,1467,2531,2531,190,70,285
48,F,179,59,Moderate,1340,2077,2077,156,58,234
61,F,160,101,Light,1613,2218,2218,166,62,250
36,M,177,46,Active,1350,2329,2329,175,65,262
45,M,163,53,Active,1325,2286,2286,171,64,257
47,F,194,52,Light,1326,1823,1823,137,51,205
36,M,159,109,Moderate,2107,3266,3266,245,91,367
38,M,155,112,Very Active,2117,4022,4022,302,112,452
45,F,195,100,Active,1782,3074,3074,231,85,346
69,M,196,98,Very Active,1950,3705,3705,278,103,417
35,F,159,97,Moderate,1686,2613,2613,196,73,294
19,M,188,104,Active,2276,3926,3926,294,109,442
32,M,166,91,Light,1922,2643,2643,198,73,297
27,F,188,62,Light,1486,2043,2043,153,57,230
61,F,189,52,Light,1250,1719,1719,129,48,193
60,M,183,86,Light,1778,2445,2445,183,68,275
80,M,156,48,Moderate,1026,1590,1590,119,44,179
36,M,155,71,Sedentary,1579,1895,1895,142,53,213
34,F,185,63,Light,1456,2002,2002,150,56,225
49,M,150,66,Active,1414,2439,2439,183,68,274
41,M,180,118,Very Active,2300,4370,4370,328,121,492
53,F,169,69,Very Active,1380,2622,2622,197,73,295
61,M,164,120,Light,2137,2938,2938,220,82,331
71,F,153,84,Sedentary,1391,1669,1669,125,46,188
42,M,161,50,Sedentary,1292,1550,1550,116,43,174
30,F,182,94,Light,1751,2408,2408,181,67,271
23,M,199,60,Active,1717,2962,2962,222,82,333
51,F,175,110,Moderate,1786,2768,2768,208,77,311
21,F,194,104,Sedentary,1919,2303,2303,173,64,259
46,F,163,68,Moderate,1382,2142,2142,161,60,241
22,M,186,92,Sedentary,2089,2507,2507,188,70,282
25,M,195,48,Moderate,1525,2364,2364,177,66,266
55,F,178,96,Active,1649,2845,2845,213,79,320
58,F,172,46,Very Active,1155,2194,2194,165,61,247
42,F,166,86,Light,1575,2166,2166,162,60,244
28,M,161,105,Moderate,2109,3269,3269,245,91,368
75,F,183,79,Light,1420,1952,1952,146,54,220
24,F,198,71,Active,1614,2784,2784,209,77,313
20,M,183,85,Active,1992,3436,3436,258,95,387
52,F,182,55,Very Active,1295,2460,2460,184,68,277
56,F,173,58,Moderate,1277,1979,1979,148,55,223
72,F,163,77,Very Active,1353,2571,2571,193,71,289
51,F,168,104,Active,1709,2948,2948,221,82,332
70,F,176,58,Sedentary,1226,1471,1471,110,41,165
25,F,155,101,Sedentary,1753,2104,2104,158,58,237
47,F,180,114,Light,1856,2552,2552,191,71,287
73,F,186,86,Moderate,1503,2330,2330,175,65,262
21,F,194,48,Moderate,1402,2173,2173,163,60,244
38,M,169,47,Very Active,1313,2495,2495,187,69,281
47,M,178,66,Light,1560,2145,2145,161,60,241
19,F,173,109,Sedentary,1909,2291,2291,172,64,258
25,F,152,98,Light,1716,2360,2360,177,66,266
55,F,154,89,Active,1510,2605,2605,195,72,293
41,F,199,93,Sedentary,1747,2096,2096,157,58,236
75,F,191,114,Sedentary,1769,2123,2123,159,59,239
